epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,380.298,1.21134,1.17786,1.21192,0.66026,0.24555,0.31401,0.1354,1.62142,1.98071,1.46257,0.000922942,0.000922942,0.000922942
56,387.135,1.2062,1.19785,1.20419,0.43824,0.30649,0.31858,0.17179,1.72952,1.85301,1.51422,0.000920142,0.000920142,0.000920142
57,394.162,1.18293,1.12734,1.18234,0.65671,0.34607,0.36398,0.19826,1.6446,1.8084,1.44184,0.000917296,0.000917296,0.000917296
58,400.341,1.16938,1.1216,1.17514,0.622,0.3191,0.37411,0.22029,1.59317,1.80597,1.42217,0.000914405,0.000914405,0.000914405
59,407.154,1.18166,1.16132,1.17689,0.60805,0.32323,0.31755,0.18038,1.65158,1.67164,1.40986,0.000911469,0.000911469,0.000911469
60,413.742,1.16691,1.13442,1.19062,0.48913,0.41766,0.33734,0.18535,1.65566,1.62062,1.45217,0.000908488,0.000908488,0.000908488
61,420.518,1.1585,1.11029,1.18142,0.56533,0.29712,0.36992,0.20094,1.69983,1.71632,1.51172,0.000905463,0.000905463,0.000905463
62,427.37,1.17124,1.09938,1.17594,0.64432,0.30791,0.35469,0.1972,1.64205,1.64297,1.4015,0.000902395,0.000902395,0.000902395
63,434.393,1.1664,1.08255,1.17459,0.49085,0.23542,0.26991,0.14368,1.74993,1.63638,1.48414,0.000899282,0.000899282,0.000899282
64,441.122,1.14639,1.11503,1.17584,0.64688,0.29501,0.35476,0.18902,1.65146,1.83981,1.40271,0.000896127,0.000896127,0.000896127
65,447.829,1.16241,1.10086,1.18978,0.52689,0.33143,0.31115,0.1678,1.75325,1.89614,1.46226,0.000892928,0.000892928,0.000892928
66,454.712,1.16007,1.12028,1.17687,0.45366,0.3438,0.32274,0.17692,1.72685,1.75339,1.44386,0.000889687,0.000889687,0.000889687
67,461.376,1.1623,1.09082,1.18276,0.7357,0.29132,0.36832,0.21937,1.58964,1.9221,1.38864,0.000886404,0.000886404,0.000886404
68,467.966,1.12877,1.03918,1.16574,0.64498,0.32038,0.35687,0.19059,1.70185,1.88426,1.4744,0.000883079,0.000883079,0.000883079
69,475.327,1.1486,1.06896,1.17264,0.42101,0.35834,0.3005,0.14824,1.65451,1.90601,1.4479,0.000879713,0.000879713,0.000879713
70,481.902,1.11929,1.03916,1.1536,0.48254,0.47261,0.32176,0.18138,1.59675,1.61524,1.35635,0.000876305,0.000876305,0.000876305
71,488.531,1.13437,1.06671,1.15615,0.57194,0.33467,0.34142,0.19418,1.72459,1.92368,1.47278,0.000872857,0.000872857,0.000872857
72,495.249,1.11194,1.051,1.14379,0.67035,0.34576,0.40532,0.24465,1.66532,1.8056,1.45672,0.000869368,0.000869368,0.000869368
73,501.953,1.08843,1.01389,1.1557,0.64854,0.37582,0.35796,0.20108,1.65541,1.7498,1.35861,0.000865839,0.000865839,0.000865839
74,508.497,1.09534,1.01385,1.14769,0.74768,0.30635,0.34761,0.21354,1.73946,1.98541,1.49411,0.000862271,0.000862271,0.000862271
